web-scraper-order,web-scraper-start-url,title,location,employee_count,industries,context
"1643569177-3160","https://builtin.com/companies/type/hr-tech-companies?page=7","Snagajob","Glen Allen, VA","346 Global Employees","HR Tech","Snagajob, the country’s largest platform for hourly work, connects more than 100 million registered job seekers with employment opportunities at 470,000 employer locations in the US and Canada. Snagajob’s mission is to put people in the right positions so they can maximize their potential and live more fulfilling lives. Through Snagajob, workers can be full-time, part-time or pick up shifts and gain the flexibility of working when and where they choose while employers are assured every shift stays filled."
"1643569156-3068","https://builtin.com/companies/type/hr-tech-companies?page=12","Avenica, Inc.","Minneapolis, MN","45 Global Employees","HR Tech","Avenica offers career services for college graduates that help launch meaningful careers. Learn more about our innovative education-to-work platform."
"1643569149-3020","https://builtin.com/companies/type/hr-tech-companies?page=14","Acrew","New Orleans, LA","null","Agency
      
        HR Tech","Acrew connects employers and job seekers using brief first impression videos."
"1643569164-3096","https://builtin.com/companies/type/hr-tech-companies?page=10","Adzuna","Indianapolis, IN","200 Global Employees","AdTech
      
        HR Tech
      
        Internet of Things","Adzuna is a smarter, more transparent job search engine used by tens of millions of visitors per month.  We love using the awesome power of technology to bring together every job in one place, help match people to better, more fulfilling jobs and keep the world working.

Adzuna.co.uk was founded in 2011 by Andrew Hunter and Doug Monro, formerly of eBay, Gumtree, Qype and Zoopla and is backed by leading Venture Capital firms Passion Capital, LocalGlobe, Index Ventures and Smedvig Capital. 

We’ve spent a decade developing smarter, more transparent job search so jobseekers worldwide (we’re in 16 countries) can zero in on the right role faster.

We also supply real-time data to the Number 10 Dashboard and Office for National Statistics labour market indices. In 2018, Adzuna won the contract to run Find a job, one of the British government’s most used online services."
"1643569164-3106","https://builtin.com/companies/type/hr-tech-companies?page=10","College Recruiter job search site","Minneapolis, MN","13 Global Employees","HR Tech","Leading niche job board for college and university students searching
					for internships, part-time employment, and seasonal work and recent
					graduates hunting for entry-level jobs and other career opportunities."
"1643569177-3164","https://builtin.com/companies/type/hr-tech-companies?page=7","HIREtech","Houston, Texas","150 Global Employees","HR Tech","HIREtech is a technology-focused human capital management (HCM) and tax incentive firm. We provide real-time data and intelligence to help employers make important financial and hiring decisions across the entire employee lifecycle â€“ from onboarding to offboarding. HR, Payroll, and Tax pros can count on us for solutions that save time, reduce risk, and improve the bottom line for their organizations."
"1643569156-3064","https://builtin.com/companies/type/hr-tech-companies?page=12","ShiftMed","McLean, VA","null","Healthtech
      
        HR Tech",""
"1643569172-3143","https://builtin.com/companies/type/hr-tech-companies?page=8","Women Who Code","Atlanta, GA","null","HR Tech",""
"1643569186-3193","https://builtin.com/companies/type/hr-tech-companies?page=5","Leapgen","St Louis Park, MN","48 Global Employees","HR Tech","Leapgen is the trusted partner globally for HR and IT leaders looking to innovate their organization’s digital workforce experience. Leapgen helps executives rethink how to better design and deliver employee services as well as architect HR technology solutions that meet the expectations of the workforce and the needs of the business. Leapgen provides HR Service Delivery Transformation, Digital HR Technology & People Analytics, and Workforce Experience Design & Deployment Practices that are accessed through management consulting, education, and advisory services."
"1643569156-3053","https://builtin.com/companies/type/hr-tech-companies?page=12","Scholars","Memphis, Tennessee","42 Global Employees","HR Tech","Scholars matches students with businesses based on their skills, interests and experiences."
"1643569156-3067","https://builtin.com/companies/type/hr-tech-companies?page=12","HRmango","Lehi, UT","5 Global Employees","HR Tech","HR Mango offers short and long term recruiting help. We employee professional home based recruiters ready to help you."
"1643569186-3205","https://builtin.com/companies/type/hr-tech-companies?page=5","Deputy","Atlanta, GA","396 Global Employees","HR Tech
      
        Software","Deputy is the ultimate, all-in-one workforce management solution that simplifies employee scheduling, timesheets, tasking, and communication.

At Deputy we’re on a mission to change the way the world works. Since 2008 over 100 million shifts have been rostered on Deputy, in over 100 countries, and across 245 different industries. We were #21 in Deloitte’s Fastest Growing Tech Startups, winner of Westpac’s Innovative Business of Tomorrow 2018, and #5 in Forbes’ Cloud 100 2018. And we’re only just getting started.

We’re making it easier for businesses and teams to roster staff, manage leave, complete payroll and take the admin out of work so that our customers can focus on doing what they love. 

As a result, we are looking for the best talent to help us achieve our mission to get every shift around the world rostered in Deputy!"
"1643569181-3189","https://builtin.com/companies/type/hr-tech-companies?page=6","Mineral","Portland, OR","235 Global Employees","HR Tech","Trusted by more than 500,000 companies, Mineral is the HR and compliance leader for growing businesses. Our proactive solutions take the guesswork out of HR and compliance, giving clients peace of mind. We combine data, technology, and human expertise to drive innovation and personalized guidance."
"1643569192-3229","https://builtin.com/companies/type/hr-tech-companies?page=4","Dahl Consulting","Roseville, MN","136 Global Employees","Consulting
      
        HR Tech
      
        Information Technology","Since 1993, Dahl Consulting (DAHL) has been successful in partnering and implementing workforce solutions with a number of Twin Cities companies. Our mission is to positively impact peoples’ lives through staffing, payrolling and managed service provider solutions. 

At DAHL, “It’s the People” is more than a tagline. Our entire business revolves around people and relationships. As a family-owned company, we strive to extend the familial tone to everyone we engage with each day. We understand that we exist because of the clients, employees, and the communities we serve.

Our company streamlines staffing and workforce strategies by Managing Enterprise Vendor Programs for its clients. Our workforce solutions ensure our clients have the right people, the right process, and the right relationships, all at the right cost. 

While we have a strong Information Technology focus, we also recruit talent for a variety of other positions including Business/Professional, Creative/Marketing, Accounting/Finance, Recruiting/HR, Sales, Management and more.

Certified Women Owned Business Enterprise (WBENC)
SIA Diversity-Owned Staffing Firm
DiversityJobs.com Partnership
Star Tribune Top Workplace (2018, 2019, 2020 & 2021)
A+ Rating from the Better Business Bureau
#2 Ranking on Minnesota's Top Women-owned Businesses List
#88 Ranking on Minnesota's Top Privately-owned Businesses List"
"1643569149-3018","https://builtin.com/companies/type/hr-tech-companies?page=14","Society for Human Resource Management","Alexandria, VA","null","Consulting
      
        HR Tech
      
        Other
      
        Professional Services",""
"1643569149-3022","https://builtin.com/companies/type/hr-tech-companies?page=14","Homi","Minneapolis, MN","null","HR Tech
      
        Other","Connecting students with careers via their alumni"
"1643569156-3052","https://builtin.com/companies/type/hr-tech-companies?page=12","Hire Velocity","Atlanta, Georgia","170 Global Employees","HR Tech","Hire Velocity provides world-class RPO Recruitment Process Outsourcing and Workforce Solutions including Executive Search and Talent Advisory."
"1643569152-3044","https://builtin.com/companies/type/hr-tech-companies?page=13","YearOne","Portland, OR","16 Global Employees","HR Tech
      
        Software","YearOne helps companies hire and support non-traditional/underrepresented early software engineers graduating from code schools."
"1643569186-3199","https://builtin.com/companies/type/hr-tech-companies?page=5","CastleBranch","Wilmington, NC","335 Global Employees","HR Tech","Whether you’re on a mission to onboard the best and brightest people to your organization or provide the finest education to promising new students, CastleBranch is here to help. We’re ready to guide you through your biggest background screening, compliance tracking and clinical rotation management challenges, remove barriers big and small, and get you where you want to be.
 
We’re a team 400 people strong, and since 1997 we’ve been in the business of providing peace of mind. We rely on our core values of communication, collaboration, clarity, and trust to bring you innovative solutions in background screening and clinical experience compliance. CastleBranch is the only consumer reporting agency in the country that specializes in both, and we’re honored to have earned the trust of 66% of colleges and universities nationwide, including the clear majority of health care education programs in the United States.
 
We’re with you, enabling you to make safe and informed decisions that empower you, your organization and your people."
"1643569156-3059","https://builtin.com/companies/type/hr-tech-companies?page=12","Nexus Contingent Workforce","San Diego, CA","12 Global Employees","HR Tech","NexusCW offers workforce management solutions in San Diego and nationwide including: Payroll, Human Resources, Recruiting & Employee Benefits"
"1643569201-3263","https://builtin.com/companies/type/hr-tech-companies?page=2","Double","Fully Remote","183 Global Employees","HR Tech
      
        Information Technology
      
        Productivity
      
        Professional Services
      
        Software","Even with the best tools, CEOs on average spend 24% of their time on emails, with additional admin tasks like scheduling and team coordination eating up even more valuable time each week. Time they could be spending growing and building their teams, working on high-level strategy, building their network, or simply enjoying much-needed time with friends and family.

That realization led us to start Double in 2018. We wanted to help people focus their time and energy on the things they had the most value doing, and set out to build a flexible, accessible, and efficient support system. By matching executives and their teams with part-time, experienced assistants and empowering them with tools to work better together, we are building towards the vision we laid out at our launch:

1) Humans first. We believe that great delegation stems from strong relationships. We're assembling the best community of executive assistants in the US and France with a wide range of experiences to support growing companies. AI can't get it right all the time, but humans and great software can.
2) Tools to boost delegation. Most people aren’t taught how to delegate, so we're building tools to empower executives to seamlessly share tasks and preferences and learn how to apply delegation best practices. Our tools also help assistants stay on track and operate more efficiently on a daily basis.
3) Accessible for executives and their teams. While Double started as a service and product for CEOs, we are now extending support to all teams. Getting time back to spend on the things that matter is crucial for executives and their company, whether that's just a couple of hours per month or 15h per week."
"1643569167-3113","https://builtin.com/companies/type/hr-tech-companies?page=9","null","null","null","","null"
"1643569164-3103","https://builtin.com/companies/type/hr-tech-companies?page=10","Vaco","Brentwood, TN","3,200 Global Employees","Consulting
      
        HR Tech","Vaco, a business management consulting firm, provides services in the areas of accounting and finance, permanent placement, executive search, and strategic staffing."
"1643569197-3232","https://builtin.com/companies/type/hr-tech-companies?page=3","Yello","Chicago, IL","135 Global Employees","Enterprise Web
      
        HR Tech
      
        Mobile
      
        Software","Yello is reinventing recruiting by replacing outdated practices with innovative solutions. Organizations from Fortune 500 companies use our technologies to modernize talent acquisition processes. Our culture emphasizes collaboration and supports rapid professional growth."
"1643569172-3150","https://builtin.com/companies/type/hr-tech-companies?page=8","Kwema","St. Louis, MO","12 Global Employees","HR Tech
      
        Insurance
      
        Security","On-Star meets E-ZPass for Employee Safety using Wearables."
"1643569167-3119","https://builtin.com/companies/type/hr-tech-companies?page=9","null","null","null","","null"
"1643569201-3269","https://builtin.com/companies/type/hr-tech-companies?page=2","Truework","San Francisco, CA","140 Global Employees","Enterprise Web
      
        Financial Services
      
        Fintech
      
        HR Tech","We are building the modern credit bureau, and are giving people control over how their sensitive financial information is shared with lenders. 

We believe increasing data transparency and returning data controls to the consumer are two crucial steps toward improving the health and safety of the internet as we know it.

The team at Truework is hyper-focused on building a better data economy through products that promote transparent transactions for both businesses and consumers alike. Our identity verification platform helps HR orgs, lending teams and background check processors improve privacy and unlock productivity by automating employment and income verifications. On the consumer side, we are giving employees unprecedented visibility into how their professional information is shared between third parties such as banks, mortgage lenders and employers. Transforming online identity by promoting privacy controls for users."
"1643569172-3138","https://builtin.com/companies/type/hr-tech-companies?page=8","Harver (formerly OutMatch)","Dallas, TX","164 Global Employees","Cloud
      
        HR Tech
      
        Information Technology
      
        Software","Outmatch is now Harver. Harver is the market-leading volume hiring solution designed to help innovative companies around the world to hire better, faster, and in a fundamentally fair manner. With offices in Amsterdam, Dallas, NYC, and London, Harver is disrupting the recruitment industry and providing companies with an intelligent way to evaluate and automate all aspects of candidate selection, while simultaneously fighting unconscious bias in the process."
"1643569192-3222","https://builtin.com/companies/type/hr-tech-companies?page=4","Emburse","5 Offices","832 Global Employees","HR Tech","Emburse humanizes work by empowering business travelers, finance professionals and CFOs to eliminate manual, time-consuming tasks so they can focus on what matters most.
Emburse brings together some of the world’s most powerful and trusted expense and AP automation solutions, including Abacus, Captio, Certify, Chrome River, Nexonia and Tallie. The company’s innovative offerings, which are uniquely tailored for specific industries, company sizes, and geographies, are trusted by more than 4.5 million users in more than 120 countries. Over 14,000 customers, from start-ups to global enterprises, including Boot Barn, Grant Thornton, Telefónica, Lufthansa Systems, and Toyota rely on Emburse to make faster, smarter decisions, empower business travelers to recapture lost nights and weekends spent doing tedious expense management, and help make users’ lives -- and their businesses -- better."
"1643569197-3245","https://builtin.com/companies/type/hr-tech-companies?page=3","Namely","New York, NY","450 Global Employees","HR Tech
      
        Information Technology
      
        Software","Namely is an all-in-one HR platform for mid-sized companies—designed to be used by everyone, every day. Our platform is used by some of the world’s most innovative & exciting companies in media, technology.

At Namely, we all have one thing in common: we come to work ready to fulfill our mission to help mid-sized companies build a better workplace."
"1643569172-3145","https://builtin.com/companies/type/hr-tech-companies?page=8","Bravely","New York, NY","null","HR Tech",""
"1643569177-3171","https://builtin.com/companies/type/hr-tech-companies?page=7","Third Summit","New York , NY","27 Global Employees","Cloud
      
        Digital Media
      
        HR Tech
      
        Payments","Third Summit is creating enterprise-grade tools designed for mainstream content creators. Our solutions are scalable and affordable for independent freelancers, social media influencers and small to mid-sized businesses, making their professional lives significantly easier. Our flagship ecosystem is Alteon, a multi-pronged platform that leverages AI and cloud technology to  help match content creators with clients, get payments processed faster and allows creative collaborators work on large media files simultaneously."
"1643569149-3017","https://builtin.com/companies/type/hr-tech-companies?page=14","SHRM","Fully Remote","null","HR Tech",""
"1643569156-3060","https://builtin.com/companies/type/hr-tech-companies?page=12","Pangian","San Francisco, CA","3 Global Employees","HR Tech","Pangian is a borderless digital nation that creates the first location independent remote workforce network."
"1643569156-3069","https://builtin.com/companies/type/hr-tech-companies?page=12","KarbonPay","Dallas, TX","11 Global Employees","Fintech
      
        HR Tech",""
"1643569177-3152","https://builtin.com/companies/type/hr-tech-companies?page=7","Mitratech","Austin, TX","813 Global Employees","HR Tech
      
        Legal Tech
      
        Software","Mitratech is a trusted, global technology partner empowering corporate legal, risk & compliance, and HR professionals to maximize productivity, control expense, and mitigate risk by deepening operational alignment, and increasing collaboration & visibility across their organization.
 
With Mitratech’s proven portfolio of end-to-end solutions, organizations worldwide are able to proactively identify and implement best practices and standardize processes across all lines of business to manage risk and ensure business continuity.
 
Mitratech partners with more than 1,500 companies worldwide, from small nimble teams needing tech-enablement, to the largest organizations in the world trying to centralize, streamline and collaborate across their legal and risk functions.  Mitratech's user base spans more than 160 countries."
"1643569206-3291","https://builtin.com/companies/type/hr-tech-companies?page=1","CodeSignal","Fully Remote","50 Global Employees","HR Tech
      
        Information Technology
      
        Software","Founded in 2015, we are the first company to develop an objective skills-based assessment platform that can be used as a standard for technical hiring. CodeSignal helps companies #GoBeyondResumes with automated and live technical interviewing solutions!

We have built a suite of three products, Certify, Test & Interview, to support our mission to decrease hiring bias, and increase diversity by letting skills come first! Our state-of-the-art cloud integrated development environment (IDE) and research-based assessments allow our customers to measure coding skills accurately and objectively.

Our Mission
- Make talent accessible through skills assessment

Our Values
- Be helpful and empathetic. We believe that empathy is the foundation of building a great team, product, and service. We look at things from our users' perspective, and we always treat our users and each other with trust and respect.
- Take ownership. All of us are on this ship together. When you see a problem to fix or an area to improve, do it!
- Move quickly and make mistakes. We're not afraid to take risks. Be bold and try things; it's better to validate an idea quickly than to fall behind chasing perfection.
- Have a point of view and embrace debate. We value getting things right and don't stand on hierarchy. If you have an opinion, speak up, and you'll be heard."
"1643569177-3156","https://builtin.com/companies/type/hr-tech-companies?page=7","Ceridian","3 Offices","7,000 Global Employees","Cloud
      
        Fintech
      
        HR Tech
      
        Software","Human Capital Management from Ceridian helps transform your business payroll processing, workforce management and talent management in a single HRIS solution.

Ceridian is a global human capital management software company. Dayforce, our flagship cloud HCM platform, provides human resources, payroll, benefits, workforce management, and talent management functionality. Our platform is used to optimize management of the entire employee lifecycle, including attracting, engaging, paying, deploying, and developing people. Ceridian has solutions for organizations of all sizes."
"1643569164-3104","https://builtin.com/companies/type/hr-tech-companies?page=10","Awardco","Provo, UT","160 Global Employees","HR Tech
      
        Software","Awardco is a software that specializes in employee recognition and engagement, inspiring human connection through rewarding recognition."
"1643569192-3220","https://builtin.com/companies/type/hr-tech-companies?page=4","Percy","Boston, CO","18 Global Employees","Agency
      
        HR Tech
      
        Professional Services
      
        Sales","Percy is a next generation recruiting firm that sits at the nexus of HR/tech and recruiting. With a mission to humanize the hiring process, we leverage proprietary technology and skilled recruiters to provide “white-glove” service for both the candidates we support and the clients we serve."
"1643569177-3165","https://builtin.com/companies/type/hr-tech-companies?page=7","skills e.q.","Washington","31 Global Employees","Big Data
      
        Edtech
      
        HR Tech
      
        Software","Changing the education paradigm"
"1643569149-3030","https://builtin.com/companies/type/hr-tech-companies?page=14","Job Board Fire","Los Angeles, CA","3 Global Employees","HR Tech
      
        Software","Job Board Fire is a software company building a decentralized network of engaged job seekers."
"1643569156-3066","https://builtin.com/companies/type/hr-tech-companies?page=12","Tribaja","2 Offices","null","HR Tech",""
"1643569181-3172","https://builtin.com/companies/type/hr-tech-companies?page=6","Computer Futures","2 Offices","1,614 Global Employees","HR Tech
      
        Information Technology","Computer Futures is part of SThree PLC, the leading global STEM (Science, Technology, Engineering and Mathematics) recruitment company. For more than 30 years, we’ve been connecting businesses with highly skilled IT talent.
 
As global IT recruitment experts, we specialise across niche IT markets and technologies – everyday we’re helping software developers, engineers, and a host of IT professionals access job opportunities with a variety of businesses. 

Our approach is simple – we combine our global networks, local expertise, and specialist market knowledge to provide first-rate IT recruitment and employment solutions that help professionals to excel and businesses to grow."
"1643569160-3082","https://builtin.com/companies/type/hr-tech-companies?page=11","OurErrands","Atlanta, Georgia","5 Global Employees","HR Tech
      
        Travel","OurErrands is a platform for corporate HR teams to offer personalized lifestyle management services to candidates who are relocating."
"1643569160-3083","https://builtin.com/companies/type/hr-tech-companies?page=11","Bacon","Provo, UT","25 Global Employees","HR Tech","Bacon helps companies find qualified workers to fill shifts on short notice using an app."
"1643569177-3170","https://builtin.com/companies/type/hr-tech-companies?page=7","Crash","North Charleston, South Carolina","17 Global Employees","Edtech
      
        HR Tech","Crash is a career launch platform that helps young professionals to showcase their talent."
"1643569164-3105","https://builtin.com/companies/type/hr-tech-companies?page=10","Inova Payroll","Nashville, TN","140 Global Employees","HR Tech
      
        Payments","Inova Payroll is a payroll service provider which provides payroll, human resource (HR), tax filing, and related services for companies."
"1643569160-3078","https://builtin.com/companies/type/hr-tech-companies?page=11","Clarify","Miami, Florida","1 Global Employee","HR Tech
      
        Software","We make it easy for people and companies to focus on results."
"1643569206-3288","https://builtin.com/companies/type/hr-tech-companies?page=1","Qualtrics","7 Offices","3,200 Global Employees","Big Data
      
        HR Tech
      
        Other
      
        Software","Qualtrics Experience Management (XM) is the only software platform that helps brands continually assess the quality of their four core experiences—customers, employees, products, and brands. With Qualtrics XM, organizations can be at every meaningful touchpoint, for every experience, and predict which changes will resonate most with stakeholders."
"1643569201-3255","https://builtin.com/companies/type/hr-tech-companies?page=2","The Predictive Index","Westwood, MA","240 Global Employees","HR Tech
      
        Software","The Predictive Index is the talent optimization leader empowering companies to align their talent strategy with their business strategy for optimal results."
"1643569160-3091","https://builtin.com/companies/type/hr-tech-companies?page=11","Visage Payroll","Dallas, Texas","17 Global Employees","HR Tech","Instant payouts for 1099 contractors. Easy contractor payroll. 1099 Payments & Payroll APIs. Stay compliant with Gig Wage."
"1643569149-3028","https://builtin.com/companies/type/hr-tech-companies?page=14","Jobzle","Providence, RI","null","Edtech
      
        HR Tech","Jobzle allowed businesses to offer part-time jobs and internships directly to college students."
"1643569201-3258","https://builtin.com/companies/type/hr-tech-companies?page=2","Beamery","Fully Remote","190 Global Employees","Artificial Intelligence
      
        HR Tech
      
        Software","We believe that where you work is much more than just a job. For many of us, it's our livelihoods. It’s how we provide for our families and it shapes the legacy we'll leave behind. This is why our purpose is to create access to opportunities regardless of where someone is born. 

As one of the fastest-growing technology companies in the world, we're helping the world's largest companies transform the way they attract, engage, hire and manage talent with our industry first Talent Operating System."
"1643569206-3278","https://builtin.com/companies/type/hr-tech-companies?page=1","KPA","Lafayette, CO","295 Global Employees","Automotive
      
        Greentech
      
        HR Tech
      
        Software","KPA provides Environment, Health & Safety (EHS), and Workforce Compliance software and services for mid-sized businesses. KPA solutions help clients identify, remedy, and prevent workplace safety and compliance problems across their entire enterprise. The combination of KPA’s Vera Suite software platform, EHS consulting services, and award-winning training content helps organizations minimize risk so they can focus on what’s important—their core business. For over 30 years, KPA has helped 10,000+ clients achieve regulatory compliance, protect assets, and retain top talent."
"1643569186-3208","https://builtin.com/companies/type/hr-tech-companies?page=5","Breezy HR","Jacksonville, FL","26 Global Employees","HR Tech
      
        Software","Breezy HR modernizes your hiring process with end-to-end recruiting software built to scale for every-sized team."
"1643569152-3035","https://builtin.com/companies/type/hr-tech-companies?page=13","Empyrean","Houston, Texas","580 Global Employees","HR Tech","Empyrean's benefits administration outsourcing solutions combine the industry's most modern HR benefits technology with world-class service and support."
"1643569152-3040","https://builtin.com/companies/type/hr-tech-companies?page=13","Graspie, Inc.","Buffalo, New York","5 Global Employees","HR Tech
      
        Mobile
      
        Software","SaaS mobile-first training, engagement & up-skilling platform for hotels, retail and startups to train their workforce faster and affordably"
"1643569206-3274","https://builtin.com/companies/type/hr-tech-companies?page=1","Upwork","Chicago, IL","550 Global Employees","Cloud
      
        HR Tech
      
        Professional Services
      
        Software","Upwork is the world’s work marketplace, connecting millions of businesses with independent talent around the globe. We serve everyone from one-person startups to 30% of the Fortune 100 with a powerful, trust-driven platform that enables companies and freelancers to work together in new ways that unlock their potential."
"1643569192-3226","https://builtin.com/companies/type/hr-tech-companies?page=4","DevSelect, LLC","Fully Remote","11 Global Employees","Cloud
      
        Consulting
      
        HR Tech
      
        Information Technology
      
        Software","DevSelect is a Managerial and Technical consultancy with a long history of process-driven consulting and staffing. Since 1999 we have provided services to hundreds of companies across the US and Canada from the Fortune 100 to the smallest start-up . Our goal is to get to know our clients, their culture, their process, their technology and their people. In doing this we are able to become a trusted partner."
"1643569156-3070","https://builtin.com/companies/type/hr-tech-companies?page=12","Leadr","Dallas, TX","null","HR Tech
      
        Professional Services","Across the board, organizations are not developing leaders fast enough. The systems, tools and frameworks used in the workplace to manage people are broken, resulting in piecemeal solutions, one-off assessments, temporary leadership fads, perks instead of progress and a failure to prioritize the individual front-line employee. And yet, what if continuous growth for every employee was possible? What could you accomplish? 

We believe it is and we're building the first people development software to help you implement it. Every employee progressing. Every manager a coach. It's time for a new way to manage our most valuable asset. Leadr HR: every day leadership development."
"1643569160-3087","https://builtin.com/companies/type/hr-tech-companies?page=11","Knoetic","Fully Remote","25 Global Employees","HR Tech","Knoetic gives Chief People Officers superpowers.

Knoetic is the first company to unify a social network and a SaaS analytics tool in the same platform. By embedding our exclusive social network of 1,000+ world-class Chief People Officers, CPOHQ, directly into its people analytics software, the resulting “Insight Engine” gives CPOs both quantitative and qualitative insights, enabling them to make smarter, holistic decisions about their workforce. 

Chief People Officers use Knoetic to build their board decks, present data to their CEOs, solve challenges with peers, and improve their employee retention, compensation, diversity, and hiring. 

Our rapidly-growing customer + community base includes many of the world’s top technology companies, including Lyft, Squarespace, Amplitude, Snyk, Dollar Shave Club, and Zapier. These top companies, and 1000s more, use Knoetic’s integrated community insights and people analytics software to make smarter, data-driven decisions about their workforce."
"1643569160-3088","https://builtin.com/companies/type/hr-tech-companies?page=11","Guru.com","Pittsburgh, PA","1,200 Global Employees","HR Tech","Guru is one of the best freelance websites to find & hire Freelancers online and get work done. Freelancers can also search jobs for freelance work and get hired."
"1643569201-3257","https://builtin.com/companies/type/hr-tech-companies?page=2","Envoy Global","Chicago, IL","150 Global Employees","HR Tech
      
        Legal Tech
      
        Software","Founded in 1998, Envoy is a global immigration services provider offering the only enterprise immigration management platform that makes it seamless for companies to hire and manage an international workforce by combining expert legal representation — for both inbound and outbound immigration — and our proprietary technology."
"1643569149-3016","https://builtin.com/companies/type/hr-tech-companies?page=14","hiringthing","Nationwide","21 Global Employees","HR Tech","HiringThing is easy to use, intuitive online recruiting software that makes it easy to post jobs online, manage applicants and hire great employees."
"1643569197-3239","https://builtin.com/companies/type/hr-tech-companies?page=3","Flo Recruit","Austin, TX","16 Global Employees","HR Tech
      
        Legal Tech
      
        Software","Flo Recruit builds virtual and in-person hybrid recruiting software that helps team manage interviewing and networking events. Recruiting teams at dozens of top universities and large professional services organizations use Flo to streamline the management and scheduling of interview programs, gather candidate feedback, and host engaging events."
"1643569186-3196","https://builtin.com/companies/type/hr-tech-companies?page=5","Ntelicor","Dallas, TX","201 Global Employees","HR Tech
      
        Information Technology","Ntelicor is an IT infrastructure company specializes in information technology and information services.

Established in 1998, Ntelicor provides hard to find IT talent and flexible staffing and IT solutions to Fortune 50 and companies of all sizes. We dedicate ourselves to our clients’ unique needs. We rapidly and efficiently deploy our specialists and solutions. We remain passionate about and proud of the over 1800 people we have helped with jobs and careers.

With 21+ years of experience and unparalleled success at several of the nation’s most prestigious employers, Ntelicor is an industry leader in IT staffing and solutions. As our team continues to grow, we look forward to providing our clients and our people with extraordinary value and service for years to come."
"1643569152-3046","https://builtin.com/companies/type/hr-tech-companies?page=13","WilsonHCG","Tampa, FL","960 Global Employees","Consulting
      
        HR Tech","WilsonHCG is a RPO and human capital consulting firm that offers talent consulting and executive search services to its clients."
"1643569167-3130","https://builtin.com/companies/type/hr-tech-companies?page=9","null","null","null","","null"
"1643569197-3244","https://builtin.com/companies/type/hr-tech-companies?page=3","Wonderlic, Inc.","Fully Remote","81 Global Employees","Consulting
      
        HR Tech","Wonderlic’s mission is to help HR professionals identify top applicants and predict on-the-job performance by providing them the most trusted, scientifically validated assessments on the market. Since the company was founded in 1937, more than 200 million Wonderlic assessments have been administered to job candidates.  

Our formula for success is simple: cutting-edge I/O psychology research, machine learning, artificial intelligence, and a company culture grounded in a thirst for innovative thinking and a sincere respect for diverse perspectives. 

If you're driven by the desire to make positive changes in the world and passionate about your craft, come help us shape the future of our organization—and the assessment industry. We’d love to have you!"
"1643569201-3252","https://builtin.com/companies/type/hr-tech-companies?page=2","SilkRoad Technology","Chicago, IL","220 Global Employees","HR Tech
      
        Information Technology
      
        Professional Services
      
        Software","SilkRoad Technology delivers World-Class HR Software and Services, including strategic Onboarding solutions, Recruiting, Performance Management, and Learning, to deliver seamless experiences that attract, retain and align employees to business strategy throughout the entire employee lifecycle."
"1643569186-3206","https://builtin.com/companies/type/hr-tech-companies?page=5","Lucas Group","13 Offices","1,003 Global Employees","HR Tech
      
        Other","Lucas Group is North America's premier executive search firm. Since 1970, our culture and methodologies have driven superior recruitment results. From small and mid-sized companies to Fortune 500 corporations, we assist Clients find transcendent, management talent; Candidates fully realize their career ambitions; and Associates find professional success. 

Combining local knowledge with national reach, Lucas Group demonstrates both geographic breadth and industry depth. We provide trusted, consultative service by truly listening and responding to the needs of our clients and candidates. Our collaborative national practice groups are home to highly-skilled, dedicated recruiters, and we expertly deliver with speed, discretion, and long-term results.

We are professional, high-performance, and passionate industry veterans with insight and integrity, and we are committed to making a real and lasting difference in businesses and careers."
"1643569172-3144","https://builtin.com/companies/type/hr-tech-companies?page=8","Clovers","Fully Remote","null","HR Tech","Great interviews lead to great hires. At Clovers, we believe a fair, equitable, and consistent interview process is the key to hiring the best candidates. Clovers’ intelligent interview solution enables recruiters and hiring teams to collaborate on hiring decisions, reduce unconscious bias, and benefit from real-time interview feedback and coaching—all while delivering an exceptional interview experience."
"1643569149-3021","https://builtin.com/companies/type/hr-tech-companies?page=14","WorkAmerica","Washington","null","HR Tech
      
        Software","Recruiting marketplace for job seekers and employers in the skilled trades with quality assurance."
"1643569149-3023","https://builtin.com/companies/type/hr-tech-companies?page=14","Honest Jobs","Columbus, OH","8 Global Employees","HR Tech","We help people with criminal records find employment fast!"
"1643569160-3081","https://builtin.com/companies/type/hr-tech-companies?page=11","Jobma","Sunnyvale, CA","22 Global Employees","Digital Media
      
        HR Tech","Jobma video recruiting software connects you with worldwide talent using a digital interview platform and offers an easier, faster, and smarter hiring experience."
"1643569152-3050","https://builtin.com/companies/type/hr-tech-companies?page=13","Harri","New York, NY","308 Global Employees","HR Tech
      
        Information Technology
      
        Software","Harri is a vertically optimized employee experience platform built for service industries. By interconnecting solutions for employment branding, talent acquisition, applicant tracking, hiring, onboarding, retention, scheduling, time & attendance, communications, compliance, employee performance, and analytics, Harri equips enterprise businesses with the ability to build, manage and develop their teams from a single platform. With over 380 clients, supporting 4.3m employees, Harri is helping the globe’s most recognizable brands address complex labor scenarios and drive business performance through employee performance."
