web-scraper-order,web-scraper-start-url,Technology,name,sector,location
"1643580428-6040","https://500.co/companies","SaaS","Tushky","Travel / Hospitality","India"
"1643580428-5480","https://500.co/companies","SaaS","Qerja","Personnel / Benefits","Indonesia"
"1643580428-3901","https://500.co/companies","SaaS","Bizeebee","CRM / Customer success","US"
"1643580428-6024","https://500.co/companies","SaaS","TrueFace","Developer Tools","US"
"1643580428-5571","https://500.co/companies","Cloud / Content","Rever Moto","Social","US"
"1643580428-4706","https://500.co/companies","SaaS","humi.ca","Personnel / Benefits","Canada"
"1643580428-5824","https://500.co/companies","Cloud / Content","Stitch","Social media","Australia"
"1643580428-3950","https://500.co/companies","Cloud / Content","Boxbee","IT tools","US"
"1643580428-4962","https://500.co/companies","SaaS","Linkdex","Market intel","UK"
"1643580428-4532","https://500.co/companies","Cloud / Content","Getagent","Realty / Rentals","UK"
"1643580428-3755","https://500.co/companies","SaaS","API Fortress","Developer Tools","US"
"1643580428-4066","https://500.co/companies","Mobile","ChomChob","Consumer eCom","Thailand"
"1643580428-4590","https://500.co/companies","-","Greenhouse","Infrastructure","Singapore"
"1643580428-6062","https://500.co/companies","Mobile","UniPay","Payments","Brazil"
"1643580428-5982","https://500.co/companies","Mobile","Tourego","Financial infrastructure","Singapore"
"1643580428-5515","https://500.co/companies","SaaS","Rapa","Lending / Investments","US"
"1643580428-4436","https://500.co/companies","SaaS","Firefly","Marketing & Sales","US"
"1643580428-5088","https://500.co/companies","-","MisFans","-","-"
"1643580428-6289","https://500.co/companies","Mobile","Zoomdeck","Social media","India"
"1643580428-5611","https://500.co/companies","SaaS","Sales Beach","Market intel","US"
"1643580428-4005","https://500.co/companies","SaaS","Capabiliti","Professional training","India"
"1643580428-6210","https://500.co/companies","On-demand / Delivery","WishBeer","Food","Thailand"
"1643580428-3832","https://500.co/companies","Gaming","Axie Infinity","Gaming & eSports","Vietnam"
"1643580428-4593","https://500.co/companies","Marketplace","Greentoe","Consumer eCom","US"
"1643580428-5069","https://500.co/companies","Token","Metadium","Cryptocurrency","Korea"
"1643580428-5454","https://500.co/companies","SaaS","Prontmed","Healthcare ERP","Brazil"
"1643580428-4139","https://500.co/companies","SaaS","Connected","CRM / Customer success","US"
"1643580428-3982","https://500.co/companies","SaaS","BukuKas","Financial infrastructure","Indonesia"
"1643580428-5067","https://500.co/companies","SaaS","MessageCube","Social media","US"
"1643580428-4765","https://500.co/companies","Direct sale","Instabeat","Fitness","Lebanon"
"1643580428-5785","https://500.co/companies","FinTech","Spenny","-","India"
"1643580428-5320","https://500.co/companies","O2O","Parting","Consumer services","US"
"1643580428-4747","https://500.co/companies","SaaS","Influitive","Adtech / Martech","Canada"
"1643580428-4126","https://500.co/companies","SaaS","Comento","Job & Career Service","South Korea"
"1643580428-4686","https://500.co/companies","Direct service","HomeGP","Patient services","Malaysia"
"1643580428-3841","https://500.co/companies","Marketplace","Backlotcars","Transportation Services","US"
"1643580428-5387","https://500.co/companies","-","Playco","-","US"
"1643580428-3837","https://500.co/companies","Cloud / Content","Baby2Body","Healthcare Services & Telehealth","UK"
"1643580428-6100","https://500.co/companies","-","Veluga","Productivity","South Korea"
"1643580428-6103","https://500.co/companies","SaaS","Venzee","Supply Chain & Logistics","Mexico"
"1643580428-6068","https://500.co/companies","Marketplace","Upcode Academy","ERP","Singapore"
"1643580428-6047","https://500.co/companies","Direct sale","Ubooly","Children / Toys","US"
"1643580428-3777","https://500.co/companies","AgTech","Aquaponica","-","Saudi Arabia"
"1643580428-4857","https://500.co/companies","On-demand / Delivery","Kidzjet","Transportation Services","US"
"1643580428-5552","https://500.co/companies","Mobile","Remitbee","Payments","Canada"
"1643580428-5617","https://500.co/companies","SaaS","Sandstorm Labs","Events","US"
"1643580428-5522","https://500.co/companies","SaaS","Raur","Media production","Canada"
"1643580428-5382","https://500.co/companies","Mobile","Play The Future","Gambling","Canada"
"1643580428-5392","https://500.co/companies","Direct sale","PlotBox","Property management","Ireland"
"1643580428-3915","https://500.co/companies","-","Blocto","-","-"
"1643580428-4993","https://500.co/companies","SaaS","Lucid Chart","Media production","US"
"1643580428-4304","https://500.co/companies","On-demand / Delivery","Edfa3ly","Supply Chain & Logistics","Egypt"
"1643580428-5947","https://500.co/companies","SaaS","The Ticket Fairy","Payments","UK"
"1643580428-6090","https://500.co/companies","On-demand / Delivery","Vango","Consumer eCom","US"
"1643580428-4621","https://500.co/companies","InsurTech, FinTech, Cryptocurrency/Blockchain","Hala Insurance","Insurance","UAE"
"1643580428-6128","https://500.co/companies","SaaS","Visionful","Vehicle dealer","US"
"1643580428-4791","https://500.co/companies","SaaS","IRIS AI","Education ERP","Norway"
"1643580428-4423","https://500.co/companies","SaaS","FileBoard","Market intel","US"
"1643580428-5359","https://500.co/companies","Direct sale","Pilleve","Patient services","US"
"1643580428-4178","https://500.co/companies","O2O","Croissant","Coworking","US"
"1643580428-5492","https://500.co/companies","SaaS","QueueDr","Healthcare ERP","US"
"1643580428-4683","https://500.co/companies","SaaS","Homebot","Lending / Investments","US"
"1643580428-5282","https://500.co/companies","On-demand / Delivery","Otobro","Vehicle dealer","Singapore"
"1643580428-3651","https://500.co/companies","SaaS","9Slides","Media production","US"
"1643580428-5250","https://500.co/companies","SaaS","Onekloud","Accounting / Audit","US"
"1643580428-4057","https://500.co/companies","Direct sale","Chikaku","IT tools","Japan"
"1643580428-3861","https://500.co/companies","SaaS","Beatdapp","Entertainment","Canada"
"1643580428-3905","https://500.co/companies","SaaS","BlackTies","Recruiting","US"
"1643580428-5319","https://500.co/companies","SaaS","Partender","Procurement","US"
"1643580428-4227","https://500.co/companies","SaaS","DCHQ","Developer tools","US"
"1643580428-4908","https://500.co/companies","Direct service","Laka","Insurance","UK"
"1643580428-6017","https://500.co/companies","Mobile","TripScout","Travel / Hospitality","US"
"1643580428-5349","https://500.co/companies","-","Physiohome","-","-"
"1643580428-5903","https://500.co/companies","TMT","Tapchief","Collaboration","India"
"1643580428-5363","https://500.co/companies","Direct sale","PinMyPet","Pets","Brazil"
"1643580428-4293","https://500.co/companies","O2O","EasyPoint","Logistics","Chile"
"1643580428-6143","https://500.co/companies","O2O","Volta Industries","Automotive","US"
"1643580428-5058","https://500.co/companies","Marketplace","Memorick","Travel / Hospitality","Mexico"
"1643580428-4025","https://500.co/companies","Marketplace","Cars24","Transportation Services","India"
"1643580428-5337","https://500.co/companies","SaaS","Pellego","Lending / Investments","US"
"1643580428-5704","https://500.co/companies","SaaS","Silverpush","Market intel","India"
"1643580428-4120","https://500.co/companies","On-demand / Delivery","Colingo","College / Continuing education","US"
"1643580428-3933","https://500.co/companies","-","Bondai","-","US"
"1643580428-4181","https://500.co/companies","SaaS","CrowdForce","Govtech","Nigeria"
"1643580428-4364","https://500.co/companies","Marketplace","Event Banana","Housing & Real Estate","Thailand"
"1643580428-6023","https://500.co/companies","On-demand / Delivery","TrueCare24","Patient services","US"
"1643580428-5772","https://500.co/companies","E-Commerce","Source Beauty","-","Egypt"
"1643580428-4884","https://500.co/companies","SaaS","Koinbros","Cryptocurrency","Hong Kong"
"1643580428-3927","https://500.co/companies","O2O","BoaConsulta","Patient services","Brazil"
"1643580428-5712","https://500.co/companies","Mobile","SimplifiMed","Healthcare ERP","US"
"1643580428-4460","https://500.co/companies","SaaS","Flowtown","Adtech / Martech","US"
"1643580428-4883","https://500.co/companies","SaaS","Koemei","Developer tools","US"
"1643580428-4837","https://500.co/companies","Direct sale","Karma","IT tools","US"
"1643580428-4526","https://500.co/companies","-","Gentem","Payments","US"
"1643580428-4929","https://500.co/companies","SaaS","Leapcure","Healthcare ERP","US"
"1643580428-5260","https://500.co/companies","-","Open Presence","-","-"
"1643580428-4974","https://500.co/companies","O2O","Local Aventura","Travel / Hospitality","Chile"
"1643580428-4316","https://500.co/companies","-","El-Dokan","-","-"
"1643580428-5436","https://500.co/companies","Cloud / Content","Pressable","IT tools","US"
"1643580428-4967","https://500.co/companies","-","Little Bookmates","-","Mexico"
"1643580428-4394","https://500.co/companies","Mobile","Fan Stream","Sports","US"
"1643580428-4842","https://500.co/companies","SaaS","Keen Print","IT tools","US"
"1643580428-5276","https://500.co/companies","Direct sale","Original Stitch","Fashion","US"
"1643580428-6208","https://500.co/companies","Token","Wisepass","Cryptocurrency","Singapore"
"1643580428-3781","https://500.co/companies","Mobile","Arf","Financial infrastructure","Estonia"
"1643580428-5701","https://500.co/companies","Marketplace","Silkroad Images","Media Content","Jordan"
"1643580428-5332","https://500.co/companies","SaaS, HR Tech","Paynas","-","Egypt"
"1643580428-3693","https://500.co/companies","-","Agrapp","Agriculture","Chile"
"1643580428-5574","https://500.co/companies","Direct sale","Revolution Precrafted","Realty / Rentals","Philippines"
"1643580428-5727","https://500.co/companies","On-demand / Delivery","Skootar","Supply Chain & Logistics","Thailand"
"1643580428-4366","https://500.co/companies","O2O","Eventup","Realty / Rentals","US"
"1643580428-4807","https://500.co/companies","O2O","JetBay","Travel / Hospitality","China"
"1643580428-5708","https://500.co/companies","SaaS","SimpleHoney","Consumer services","US"
"1643580428-5446","https://500.co/companies","SaaS","Produce Pay","Payments","US"
"1643580428-3735","https://500.co/companies","-","Ambience Healthcare","Healthcare Services & Telehealth","US"
"1643580428-4900","https://500.co/companies","Marketplace","La Reina","Fashion","Egypt"
"1643580428-4624","https://500.co/companies","On-demand / Delivery","Hamptons Lane","Food","US"
"1643580428-4004","https://500.co/companies","SaaS","Canva","Media Content","Australia"
"1643580428-3947","https://500.co/companies","O2O","BottlesTonight","Entertainment","US"
"1643580428-5020","https://500.co/companies","SaaS","Malaeb","Sports","Bahrain"
"1643580428-4969","https://500.co/companies","SaaS","LittleFund","Banking & Exchange","US"
"1643580428-4237","https://500.co/companies","SaaS","DemandSphere","Market intel","US"
"1643580428-5317","https://500.co/companies","SaaS","Parlakbirgelecek","Recruiting","Turkey"
"1643580428-4509","https://500.co/companies","-","Gameball","Adtech / Martech","Egypt"
"1643580428-4212","https://500.co/companies","FoodTech","DailyMealz","Home & Personal","Egypt"
"1643580428-5843","https://500.co/companies","SaaS","Stripe","Payments","US"
"1643580428-5946","https://500.co/companies","Direct sale","The Pill Club","Drug Discovery & Delivery","US"
"1643580428-6109","https://500.co/companies","-","Vetwork","Animal care","Egypt"
"1643580428-5422","https://500.co/companies","Direct service","Pose","Events","Vietnam"
"1643580428-4414","https://500.co/companies","-","Feige","Credit & Lending","Singapore"
"1643580428-5816","https://500.co/companies","SaaS","Starship","Insurance","US"
"1643580428-4562","https://500.co/companies","SaaS","Gnowbe","Personnel / Benefits","Singapore"
"1643580428-5500","https://500.co/companies","FinTech","Quotabook","-","South Korea"
"1643580428-4067","https://500.co/companies","On-demand / Delivery","Chopp","Food","Vietnam"
"1643580428-5146","https://500.co/companies","SaaS","My Options","College / Continuing education","US"
"1643580428-5906","https://500.co/companies","On-demand / Delivery","Tarefa","K-12","Colombia"
"1643580428-4891","https://500.co/companies","SaaS","KonoLabs","Productivity","South Korea"
"1643580428-5212","https://500.co/companies","Cloud / Content","NoRedInk","K-12","US"
"1643580428-4972","https://500.co/companies","TMT, Impact Investing, FinTech","Liwwa","Credit & Lending","Jordan"
"1643580428-4260","https://500.co/companies","AudioTech","DIVE studios","Media Content","South Korea"
"1643580428-5846","https://500.co/companies","Cloud / Content","StudyEdge","College / Continuing education","US"
"1643580428-5360","https://500.co/companies","SaaS","Pilotly","Market intel","US"
"1643580428-5584","https://500.co/companies","Mobile","Rocket","Financial research","Mexico"
"1643580428-5725","https://500.co/companies","SaaS","Skipo","CRM / Customer success","Mexico"
"1643580428-4892","https://500.co/companies","Cloud / Content","Koreaboo","Entertainment","US"
"1643580428-5566","https://500.co/companies","SaaS, Big Data, Augmented Reality, Artificial Intelligence & Machine Learning","RestAR","Media Content","Israel"
"1643580428-5373","https://500.co/companies","SaaS","Placer","Market intel","US"
"1643580428-3852","https://500.co/companies","On-demand / Delivery","Barn & Willow","Property management","US"
"1643580428-5572","https://500.co/companies","Marketplace","Revivn","Grants & Donations","US"
"1643580428-5023","https://500.co/companies","Mobile, FinTech","Mamo","-","UAE"
"1643580428-4204","https://500.co/companies","-","CYBAVO","-","-"
"1643580428-5859","https://500.co/companies","Direct service","Supahands","Human Resources & Recruiting","Malaysia"
"1643580428-6263","https://500.co/companies","Direct sale","Yumi","Food","US"
"1643580428-5578","https://500.co/companies","Direct sale","Riide","Vehicle dealer","US"
"1643580428-4496","https://500.co/companies","Cloud / Content","FullStack Academy","Professional training","US"
"1643580428-4639","https://500.co/companies","Mobile","Havson Group","Entertainment","Malaysia"
"1643580428-5041","https://500.co/companies","SaaS","Mediacao Online","Legal","Brazil"
"1643580428-4452","https://500.co/companies","SaaS","Flipgive","Grants & Donations","Canada"
"1643580428-3810","https://500.co/companies","SaaS","Aureso","CRM / Customer success","Singapore"
"1643580428-5897","https://500.co/companies","SaaS","Talkpush","Recruiting","Hong Kong"
"1643580428-5201","https://500.co/companies","Direct sale","Niramai","Health monitoring","India"
"1643580428-6057","https://500.co/companies","Cloud / Content","Unbounce","Developer Tools","Canada"
"1643580428-5183","https://500.co/companies","SaaS","Neuroware.io","Developer tools","Malaysia"
"1643580428-4438","https://500.co/companies","SaaS","FireVisor","Manufacturing","Singapore"
"1643580428-5605","https://500.co/companies","On-demand / Delivery","Saffron","Food","Sweden"
"1643580428-5811","https://500.co/companies","SaaS","StackShare","Developer tools","US"
"1643580428-5037","https://500.co/companies","Mobile","MaxAB","Supply Chain & Logistics","Egypt"
"1643580428-5506","https://500.co/companies","Direct sale","Rachio","Envirotech","US"
"1643580428-4440","https://500.co/companies","Direct service","First Circle","Lending / Investments","Philippines"
"1643580428-5618","https://500.co/companies","-","Sankun","Construction","South Korea"
"1643580428-4798","https://500.co/companies","Marketplace","iWABOO","Consumer eCom","Italy"
"1643580428-3989","https://500.co/companies","On-demand / Delivery","Buseet","Travel / Hospitality","Egypt"
"1643580428-5248","https://500.co/companies","Cloud / Content","Oneforty","Procurement","US"
"1643580428-5022","https://500.co/companies","SaaS","Mall IQ","Logistics","US"
"1643580428-4569","https://500.co/companies","SaaS","Goldbean","Asset Management","US"
"1643580428-4247","https://500.co/companies","SaaS","Dhad","Entertainment","Saudi Arabia"
"1643580428-4052","https://500.co/companies","TMT, Mobile, LOHAS & Wellness, HealthTech, Digital Health, Artificial Intelligence & Machine Learning","Chefaa","-","Egypt"
"1643580428-3682","https://500.co/companies","SaaS","AdEspresso","Adtech / Martech","US"
"1643580428-4230","https://500.co/companies","O2O","Dealflicks","Entertainment","US"
"1643580428-5285","https://500.co/companies","Direct service","Outsite","Coworking","US"
"1643580428-6063","https://500.co/companies","Mobile","Unito","Collaboration","Canada"
"1643580428-6074","https://500.co/companies","SaaS","UrbanLogiq","Govtech","Canada"
"1643580428-4185","https://500.co/companies","Marketplace","Crowdrally","Grants / Donations","US"
"1643580428-5569","https://500.co/companies","Marketplace, O2O","Retailo","Supply Chain & Logistics","Saudi Arabia"
"1643580428-4564","https://500.co/companies","Direct sale","Go X","Ridesharing / Vehicle rental","US"
"1643580428-3910","https://500.co/companies","SaaS","Blinq","CRM / Customer success","Israel"
"1643580428-3802","https://500.co/companies","On-demand / Delivery","Atrium","Legal","US"
"1643580428-4268","https://500.co/companies","Mobile","Doodle Mobile","Gaming / eSports","China"
"1643580428-5546","https://500.co/companies","SaaS","Regard","Insurance","US"
"1643580428-4761","https://500.co/companies","SaaS","InnovAccer","Productivity","India"
"1643580428-4637","https://500.co/companies","SaaS","Haulio","Logistics","Singapore"
"1643580428-4236","https://500.co/companies","SaaS","DeepSparks","Adtech / Martech","Thailand"
"1643580428-5017","https://500.co/companies","Marketplace","Maker.me","Consumer eCom","US"
"1643580428-3773","https://500.co/companies","SaaS","AppZen","Accounting / Audit","US"
"1643580428-5576","https://500.co/companies","SaaS","Ricult","Agtech","Thailand"
"1643580428-5153","https://500.co/companies","SaaS","myfavorito","CRM / Customer success","Germany"
"1643580428-4124","https://500.co/companies","Restaurant Technology, LOHAS & Wellness, FoodTech, E-Commerce","Come Bien","-","Mexico"
"1643580428-6118","https://500.co/companies","On-demand / Delivery","Viki","Entertainment","South Korea"
"1643580428-4594","https://500.co/companies","Direct sale","GreenWay Labs","Property management","US"
"1643580428-5789","https://500.co/companies","Direct sale","Spirohome","Medical Device & Monitoring","Turkey"
"1643580428-6152","https://500.co/companies","Mobile","VR Motion","Autotech","US"
"1643580428-4060","https://500.co/companies","-","Chipax","-","-"
"1643580428-5150","https://500.co/companies","Direct service","Mycotech","Manufacturing","Indonesia"
"1643580428-4248","https://500.co/companies","SaaS","Diggle","Accounting / Audit","Japan"
"1643580428-5878","https://500.co/companies","SaaS","Synapp.io","Adtech / Martech","US"
"1643580428-5838","https://500.co/companies","SaaS","Streamlabs","Gaming & eSports","US"
"1643580428-5101","https://500.co/companies","SaaS","Mocavo","Social media","US"
"1643580428-3730","https://500.co/companies","Marketplace","Althea","Beauty","South Korea"
"1643580428-4483","https://500.co/companies","SaaS","Freemit","Payments","US"
"1643580428-5039","https://500.co/companies","Cloud / Content, Direct service","mClinica","Healthcare IT & Operations","Singapore"
"1643580428-5498","https://500.co/companies","O2O","Qunomedical","Healthcare Services & Telehealth","Germany"
"1643580428-4430","https://500.co/companies","Mobile","FineDine Menu","Food","Turkey"
"1643580428-5976","https://500.co/companies","SaaS","TopHatch","Media production","US"
"1643580428-3839","https://500.co/companies","Cloud / Content","BabyList","Children / Toys","US"
"1643580428-5401","https://500.co/companies","Mobile","Pocket Supernova","Social media","Japan"
"1643580428-5713","https://500.co/companies","SaaS","Simpliroute","Logistics","Chile"
"1643580428-5818","https://500.co/companies","Cloud / Content","StartupDigest","Events","US"
"1643580428-3716","https://500.co/companies","Direct sale","Allevi","Biotech","US"
"1643580428-4231","https://500.co/companies","SaaS","Decisive","Market intel","US"
"1643580428-5508","https://500.co/companies","SaaS","Rain","Adtech / Martech","US"
"1643580428-3765","https://500.co/companies","Mobile","Applauze","Events","US"
"1643580428-4493","https://500.co/companies","SaaS","Fulfil.IO","ERP","US"
"1643580428-5330","https://500.co/companies","Mobile","PayJoy","Lending / Investments","US"
"1643580428-4289","https://500.co/companies","Cloud / Content","East Meet East","Social","US"
"1643580428-5963","https://500.co/companies","-","Ticketrev","Gaming & eSports","US"
"1643580428-4209","https://500.co/companies","O2O, Marketplace","Dagangan","Consumer eCom","Singapore"
"1643580428-5188","https://500.co/companies","-","Newoldstamp","ERP","Ukraine"
"1643580428-5048","https://500.co/companies","On-demand / Delivery","MeetAsh","-","US"
"1643580428-3913","https://500.co/companies","SaaS","BlockCypher","Developer tools","US"
"1643580428-5858","https://500.co/companies","SaaS","Sunrise Atelier","Productivity","US"
"1643580428-3872","https://500.co/companies","-","Bendo","-","-"
"1643580428-5589","https://500.co/companies","O2O","Roost","Realty / Rentals","US"
"1643580428-5863","https://500.co/companies","SaaS","Superhuman","Productivity","US"
"1643580428-4663","https://500.co/companies","-","HighGround Enterprise","ERP","US"
"1643580428-3857","https://500.co/companies","-","Be Chipper","Payments","US"
"1643580428-4713","https://500.co/companies","Direct sale","Hykso","Fitness","Canada"
"1643580428-3673","https://500.co/companies","SaaS","Acquire","Developer Tools","UK"
"1643580428-4902","https://500.co/companies","Direct sale","Lab Sensor Solutions","Logistics","US"
"1643580428-4500","https://500.co/companies","SaaS","Fundwise","Grants / Donations","Mexico"
"1643580428-6151","https://500.co/companies","SaaS","Voyajoy","Property management","US"
"1643580428-4218","https://500.co/companies","SaaS","DataRank","Market intel","US"
"1643580428-6037","https://500.co/companies","On-demand / Delivery","TuckerNuck","Fashion","US"
"1643580428-3870","https://500.co/companies","On-demand / Delivery","Bellugg","Logistics","Thailand"
"1643580428-5133","https://500.co/companies","TMT, SaaS, Marketing Tech","Movielala","Social media","US"
"1643580428-5616","https://500.co/companies","-","Sanad Cash","-","-"
"1643580428-4494","https://500.co/companies","SaaS","FullContact","Marketing & Sales","US"
"1643580428-5095","https://500.co/companies","SaaS","MixRank","Market intel","US"
"1643580428-5227","https://500.co/companies","Token","Oasis Labs","Developer Tools","US"
"1643580428-4337","https://500.co/companies","Direct sale","Energaia","Agtech","Thailand"
"1643580428-4904","https://500.co/companies","On-demand / Delivery","LabDoor","Dietary Supplements","US"
"1643580428-5073","https://500.co/companies","SaaS","Meya.ai","Developer tools","Canada"
"1643580428-5956","https://500.co/companies","Cloud / Content","Thinknum","Data & Analytics","US"
"1643580428-5126","https://500.co/companies","Marketplace","Motion Elements","Procurement","Singapore"
"1643580428-4092","https://500.co/companies","O2O","Clicky","Fitness","Argentina"
"1643580428-4322","https://500.co/companies","On-demand / Delivery","Eloquii","Fashion","US"
"1643580428-3660","https://500.co/companies","On-demand / Delivery","99 minutos","Logistics","Mexico"
"1643580428-5487","https://500.co/companies","SaaS","Qualsights","IT tools","US"
"1643580428-5507","https://500.co/companies","SaaS","Radiomaze","Home & Personal","US"
"1643580428-5131","https://500.co/companies","Direct service","Movel AI","Manufacturing","Singapore"
"1643580428-3849","https://500.co/companies","SaaS","Bankons","Financial infrastructure","US"
"1643580428-4732","https://500.co/companies","SaaS","Import2","IT tools","US"
"1643580428-5314","https://500.co/companies","Cloud / Content","Parenthoods","Early childhood","US"
"1643580428-4386","https://500.co/companies","Fund investment","Factory Works","External fund","Germany"
"1643580428-4080","https://500.co/companies","SaaS","Claim Compass","Legal services","Bulgaria"
"1643580428-4556","https://500.co/companies","SaaS","Globalwork","Recruiting","Colombia"
"1643580428-3954","https://500.co/companies","SaaS","Braintree","Agtech","Malaysia"
"1643580428-3878","https://500.co/companies","O2O","BetterDoctor","Patient services","US"
"1643580428-4843","https://500.co/companies","SaaS","Keen.io","Developer tools","US"
"1643580428-5719","https://500.co/companies","Cloud / Content","SiteJabber","Consumer services","US"
"1643580428-5830","https://500.co/companies","Mobile","Storemaven","Market intel","Israel"
"1643580428-5329","https://500.co/companies","-","Payform","Payments","US"
"1643580428-4328","https://500.co/companies","SaaS","Emburse","Accounting / Audit","US"
"1643580428-6220","https://500.co/companies","Mobile","WooMoo","Developer tools","Taiwan"
"1643580428-4523","https://500.co/companies","On-demand / Delivery","Geekatoo","IT tools","US"
"1643580428-5049","https://500.co/companies","SaaS","Meitre","Food","US"
"1643580428-5916","https://500.co/companies","-","Teamable","Recruiting","US"
"1643580428-6099","https://500.co/companies","Direct service","Vela Labs","Professional services","US"
"1643580428-3666","https://500.co/companies","SaaS","Abandonment Protector","Adtech / Martech","Mexico"
"1643580428-4035","https://500.co/companies","Direct service","Cellbreaker","IT tools","US"
"1643580428-5654","https://500.co/companies","On-demand / Delivery","Service Partner One","Procurement","Germany"
"1643580428-3811","https://500.co/companies","Direct service","AUS","Aviation & Space","India"
"1643580428-4038","https://500.co/companies","SaaS","Cesanta","Developer tools","Ireland"
"1643580428-5403","https://500.co/companies","AudioTech","PODIO.XYZ","-","Egypt"
"1643580428-6212","https://500.co/companies","On-demand / Delivery","Wishup","Marketing & Sales","India"
"1643580428-4928","https://500.co/companies","FinTech","Lean Technologies","Developer Tools","Saudi Arabia"
"1643580428-5064","https://500.co/companies","TMT, FinTech","Mercury","-","US"
"1643580428-3782","https://500.co/companies","Mobile, AdTech","Argineering","Developer Tools","Egypt"
"1643580428-5988","https://500.co/companies","Mobile","TraceAir","Construction","US"
"1643580428-5637","https://500.co/companies","Marketplace","Seekster","Property management","Thailand"
"1643580428-5051","https://500.co/companies","Marketplace","Mekong Classifieds","Realty / Rentals","Cambodia"
"1643580428-3994","https://500.co/companies","SaaS","Bytez","Developer tools","US"
"1643580428-4901","https://500.co/companies","O2O","LaaSie.AI","Realty / Rentals","US"
"1643580428-3999","https://500.co/companies","-","Calo","-","Bahrain"
"1643580428-5927","https://500.co/companies","Mobility Tech, Mobile, Car-Sharing","Telgani","-","Saudi Arabia"
"1643580428-5108","https://500.co/companies","Cloud / Content","Mogul","Financial research","US"
"1643580428-4758","https://500.co/companies","SaaS","InnerSpace","Logistics","Canada"
"1643580428-4127","https://500.co/companies","SaaS","CommitChange","Grants / Donations","US"
"1643580428-5181","https://500.co/companies","SaaS","Networked Blogs","Adtech / Martech","US"
"1643580428-5245","https://500.co/companies","SaaS","Onclusive","Adtech / Martech","US"
"1643580428-5293","https://500.co/companies","-","P5M Project Management","-","Kuwait"
"1643580428-4592","https://500.co/companies","SaaS","GreenQ","Envirotech","Israel"
"1643580428-4981","https://500.co/companies","SaaS","Logiless","IT tools","Japan"
"1643580428-3895","https://500.co/companies","On-demand / Delivery","BioFab","Biotech","Peru"
"1643580428-4799","https://500.co/companies","SaaS","Já Entendi","Professional training","Brazil"
"1643580428-5339","https://500.co/companies","-","Penfield.AI","Security & Storage","Canada"
"1643580428-4370","https://500.co/companies","SaaS","EverPix","Social media","US"
"1643580428-4552","https://500.co/companies","-","Glee Trees","Productivity","Singapore"
"1643580428-3987","https://500.co/companies","Mobile","Burner","IT tools","US"
"1643580428-6150","https://500.co/companies","SaaS","Voya","Travel / Hospitality","Germany"
"1643580428-6124","https://500.co/companies","Marketplace","Virect","Media production","South Korea"
"1643580428-3880","https://500.co/companies","SaaS","Betterworks","ERP","US"
"1643580428-5694","https://500.co/companies","Mobile","Sickweather","Medical advice","US"
"1643580428-5489","https://500.co/companies","-","Quantum","-","Saudi Arabia"
"1643580428-5933","https://500.co/companies","-","Tenex","-","-"
"1643580428-5277","https://500.co/companies","Direct sale","Orori","Fashion","Indonesia"
"1643580428-3797","https://500.co/companies","SaaS","Astroprint","Developer tools","US"
"1643580428-4082","https://500.co/companies","SaaS","Clanbeat","Collaboration","Estonia"
"1643580428-3894","https://500.co/companies","Mobile","Binu","IT tools","Australia"
"1643580428-6295","https://500.co/companies","SaaS","Zya","Media production","US"
"1643580428-4286","https://500.co/companies","Mobile","Dverse","Construction","Japan"
"1643580428-5850","https://500.co/companies","Mobile","Stupeflix","Media production","France"
"1643580428-4324","https://500.co/companies","Wearables & Quantified Self, TMT, Internet of Things, HealthTech, Digital Health","Elva","-","US"
"1643580428-4775","https://500.co/companies","SaaS","Interakt","Market intel","India"
"1643580428-4136","https://500.co/companies","O2O","Concert with Me","Events","Cyprus"
"1643580428-4468","https://500.co/companies","On-demand / Delivery","Folia Water","Food","US"
"1643580428-5497","https://500.co/companies","-","Quizzito","-","Algeria"
"1643580428-5198","https://500.co/companies","Marketplace","Nice","Adtech / Martech","US"
"1643580428-3678","https://500.co/companies","-","Adaptive Plus Inc.","-","-"
"1643580428-6058","https://500.co/companies","On-demand / Delivery","Unicorn Skincare","Fashion","Taiwan"
"1643580428-5918","https://500.co/companies","SaaS","Teamly","Personnel / Benefits","UK"
"1643580428-6078","https://500.co/companies","SaaS","UserFox","CRM / Customer success","US"
"1643580428-5770","https://500.co/companies","Marketplace","SoundBetter","Media production","US"
"1643580428-5438","https://500.co/companies","SaaS","Preteckt","Autotech","US"
"1643580428-4698","https://500.co/companies","-","Hover","Developer tools","US"
"1643580428-6022","https://500.co/companies","SaaS","TruckTrack","ERP","Serbia"
"1643580428-5940","https://500.co/companies","On-demand / Delivery","ThankuCash","Banking & Exchange","Nigeria"
"1643580428-4704","https://500.co/companies","Direct sale","Humanco","Fitness","US"
"1643580428-4463","https://500.co/companies","SaaS","FlyData","Developer Tools","Japan"
"1643580428-5695","https://500.co/companies","SaaS","Sidelines","Adtech / Martech","US"
"1643580428-4826","https://500.co/companies","SaaS","justInCase","Insurance","Japan"
"1643580428-6161","https://500.co/companies","Marketplace","Wamova","Logistics","Morocco"
"1643580428-5391","https://500.co/companies","SaaS","Plot","Logistics","US"
"1643580428-5082","https://500.co/companies","On-demand / Delivery","Mihaibao","Fashion","UK"
"1643580428-3952","https://500.co/companies","Direct sale","BoxGreen","Food","Singapore"
